,,,"Mon, Jul 13",OBJETIVO,,,115 gr,100 gr,124 gr,35 gr,2000 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mon, Mar 23",18:45 ,"Not protein bar, chocolate brownie",1,Procesado,45 gr,15 gr,14 gr,6 gr,6 gr,164 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mon, Mar 23",23:45 ,Pollo (1 pechuga),0.4,Proteína,140 gr,40 gr,0 gr,4 gr,0 gr,211 kcal,05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.90,1.79,,,4.48,
,"Mon, Mar 23",23:45 ,"Ensalada (lechuga, repollo b+m, zanahoria)",1,Verdura,112 gr,1 gr,5 gr,0 gr,2 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mon, Mar 23",23:45 ,"Aceite de oliva El Gran Juicio (EV, 1 cda sop)",0.3,Grano,4 gr,0 gr,0 gr,4 gr,0 gr,32 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.36,2.70,,,3.60,
,"Mon, Mar 23",23:45 ,Queso Unt. Finlandia Light,4,Lácteo,40 gr,4 gr,2 gr,6 gr,0 gr,76 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.18,1.70,0.23,0.41,3.29,
,"Mon, Mar 23",23:45 ,Pan Integral D&D,2,Grano,50 gr,4 gr,24 gr,1 gr,3 gr,116 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mon, Mar 23",23:55 ,Te,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,00:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mon, Mar 23",23:55 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,150 gr,254 gr,60 gr,42 gr,"2,499 kcal",1467 gr,,115 gr,100 gr,124 gr,35 gr,2000 kcal,1 gr,7 gr,20 gr,0 gr,1 gr,41 gr,0 gr,28 gr,42 gr,1:7,,,,,,,
1,"Tue, Mar 24",10:30 ,Vitaminas,1,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,10:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Mar 24",10:30 ,Te,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Mar 24",10:30 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Mar 24",10:30 ,Pan Integral D&D,2,Grano,50 gr,4 gr,24 gr,1 gr,3 gr,116 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Mar 24",10:30 ,Queso Unt. Finlandia Light,1,Lácteo,10 gr,1 gr,1 gr,1 gr,0 gr,19 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.04,0.43,0.06,0.10,0.82,
,"Tue, Mar 24",10:30 ,Huevo,1,Proteína,65 gr,8 gr,0 gr,8 gr,0 gr,101 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,1.23,2.91,,,7.67,
,"Tue, Mar 24",10:30 ,"Aceite de oliva El Gran Juicio (EV, 1 cda sop)",0.15,Grano,2 gr,0 gr,0 gr,2 gr,0 gr,14 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.15,1.13,,,1.50,
,"Tue, Mar 24",10:30 ,Vainillas Bimbo,1,Carb,12 gr,1 gr,9 gr,1 gr,0 gr,45 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Mar 24",13:45 ,Pollo (1 pechuga),0.5,Proteína,210 gr,60 gr,0 gr,7 gr,0 gr,317 kcal,03:15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,1.34,2.69,,,6.72,
,"Tue, Mar 24",13:45 ,"Ensalada (lechuga, repollo b+m, zanahoria)",0.9,Verdura,85 gr,1 gr,4 gr,0 gr,2 gr,21 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Mar 24",13:45 ,Pan Integral D&D,2,Grano,50 gr,4 gr,24 gr,1 gr,3 gr,116 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Mar 24",13:45 ,Queso Unt. Finlandia Light,4,Lácteo,40 gr,4 gr,2 gr,6 gr,0 gr,76 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.18,1.70,0.23,0.41,3.29,
,"Tue, Mar 24",13:45 ,"Aceite de oliva El Gran Juicio (EV, 1 cda sop)",0.35,Grano,4 gr,0 gr,0 gr,4 gr,0 gr,38 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.42,3.15,,,4.20,
,"Tue, Mar 24",13:45 ,Huevo,1,Proteína,65 gr,8 gr,0 gr,8 gr,0 gr,101 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,1.23,2.91,,,7.67,
,"Tue, Mar 24",15:45 ,Banana,1,Fruta,114 gr,1 gr,26 gr,0 gr,3 gr,101 kcal,02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Mar 24",15:45 ,"Leche, Protein",1.2,Lácteo,120 gr,6 gr,6 gr,0 gr,0 gr,44 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Mar 24",15:45 ,Creatina Monohidrato,0.5,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Mar 24",15:45 ,Manzana,1,Fruta,148 gr,1 gr,28 gr,0 gr,4 gr,107 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Mar 24",18:00 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,02:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Mar 24",18:00 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Mar 24",18:00 ,"Leche, Protein",0.8,Lácteo,80 gr,4 gr,4 gr,0 gr,0 gr,30 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Mar 24",18:00 ,Alfajor Diet Ceral,1,Carb,45 gr,2 gr,17 gr,2 gr,2 gr,98 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Mar 24",18:00 ,Nuez (1),1,Fruto Seco,5 gr,1 gr,1 gr,3 gr,0 gr,34 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,1.63,0.70,,,3.19,
,"Tue, Mar 24",18:00 ,Almendra (1),1,Fruto Seco,7 gr,1 gr,0 gr,4 gr,1 gr,40 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,2.73,,,3.75,
,"Tue, Mar 24",22:10 ,"Yogurt, Ser",1,Lácteo,190 gr,9 gr,11 gr,0 gr,0 gr,80 kcal,04:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Mar 24",22:10 ,Avena Granix Instnatánea (2 cdas),1,Grano,30 gr,4 gr,18 gr,2 gr,3 gr,107 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Mar 24",22:10 ,Vainillas Bimbo,2,Carb,24 gr,2 gr,18 gr,1 gr,0 gr,90 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tue, Mar 24",22:10 ,Pasta de maní King natural,1,Fruto Seco,15 gr,4 gr,2 gr,7 gr,1 gr,88 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,3.60,,,7.35,
,"Tue, Mar 24",22:10 ,"Ceral, galletitas de algarroba (4 un)",1,Procesado,30 gr,2 gr,13 gr,2 gr,8 gr,73 kcal,,,,,,125 gr,220 gr,61 gr,29 gr,"1,911 kcal",1421 gr,,115 gr,100 gr,124 gr,35 gr,2000 kcal,1 gr,9 gr,22 gr,0 gr,1 gr,46 gr,0 gr,32 gr,47 gr,1:9,,,,,,,
1,"Wed, Mar 25",10:10 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Mar 25",10:10 ,"Leche, Protein",0.4,Lácteo,40 gr,2 gr,2 gr,0 gr,0 gr,15 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Mar 25",10:10 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Mar 25",10:10 ,Pan integral Bimbo artesano,2,Grano,76 gr,9 gr,32 gr,2 gr,4 gr,185 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Mar 25",10:10 ,Queso Unt. Finlandia más liviano,2,Lácteo,20 gr,2 gr,1 gr,2 gr,0 gr,26 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.05,0.46,0.06,0.11,0.90,
,"Wed, Mar 25",10:10 ,Huevo,1,Proteína,65 gr,8 gr,0 gr,8 gr,0 gr,101 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,1.23,2.91,,,7.67,
,"Wed, Mar 25",10:10 ,Vitaminas,1,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Mar 25",10:10 ,Vainillas Bimbo,1,Carb,12 gr,1 gr,9 gr,1 gr,0 gr,45 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Mar 25",13:20 ,"Ensalada (lechuga, repollo b+m, zanahoria)",1,Verdura,82 gr,1 gr,3 gr,0 gr,2 gr,21 kcal,03:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Mar 25",13:20 ,"Aceite de oliva El Gran Juicio (EV, 1 cda sop)",0.35,Grano,4 gr,0 gr,0 gr,4 gr,0 gr,38 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.42,3.15,,,4.20,
,"Wed, Mar 25",13:20 ,Queso Unt. Finlandia más liviano,4,Lácteo,40 gr,4 gr,2 gr,3 gr,0 gr,52 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.10,0.93,0.13,0.22,1.79,
,"Wed, Mar 25",13:20 ,Pan integral Bimbo artesano,2,Grano,76 gr,9 gr,32 gr,2 gr,4 gr,185 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Mar 25",13:20 ,Huevo,1,Proteína,65 gr,8 gr,0 gr,8 gr,0 gr,101 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,1.23,2.91,,,7.67,
,"Wed, Mar 25",13:20 ,Pollo (1 pechuga),0.5,Proteína,190 gr,54 gr,0 gr,6 gr,0 gr,287 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,1.22,2.43,,,6.08,
,"Wed, Mar 25",14:45 ,Banana,1,Fruta,112 gr,1 gr,26 gr,0 gr,3 gr,100 kcal,01:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Mar 25",14:45 ,"Leche, Protein",1.48,Lácteo,148 gr,7 gr,7 gr,0 gr,0 gr,55 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Mar 25",14:45 ,Creatina Monohidrato,0.5,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Mar 25",14:45 ,Manzana,1,Fruta,160 gr,1 gr,30 gr,0 gr,5 gr,115 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Mar 25",18:40 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,03:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Mar 25",18:40 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Mar 25",18:40 ,"Leche, Protein",0.8,Lácteo,80 gr,4 gr,4 gr,0 gr,0 gr,30 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Mar 25",18:40 ,"Not protein bar, crunchy, choco maní",1,Procesado,35 gr,9 gr,17 gr,4 gr,7 gr,142 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Mar 25",23:00 ,Yogurt Griego Yogusísimo (140g),1,Lácteo,140 gr,9 gr,12 gr,4 gr,0 gr,115 kcal,04:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Mar 25",23:00 ,Vainillas Bimbo,2,Carb,24 gr,2 gr,18 gr,1 gr,0 gr,90 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Mar 25",23:00 ,"Ceral, galletitas de algarroba (4 un)",1,Procesado,33 gr,2 gr,14 gr,2 gr,8 gr,80 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wed, Mar 25",23:00 ,Pasta de maní King natural,1,Fruto Seco,20 gr,5 gr,2 gr,10 gr,2 gr,117 kcal,,,,,,136 gr,225 gr,57 gr,34 gr,"1,956 kcal",1442 gr,,115 gr,100 gr,124 gr,35 gr,2000 kcal,0 gr,8 gr,18 gr,0 gr,0 gr,38 gr,0 gr,26 gr,39 gr,0:8,,3.33,4.80,,,9.80,
1,"Thu, Mar 26",10:45 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,11:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Mar 26",10:45 ,Whey Protein Bar Banana,1,Procesado,46 gr,15 gr,17 gr,7 gr,1 gr,176 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Mar 26",10:45 ,Palta,0.4,Fruta,64 gr,1 gr,5 gr,9 gr,4 gr,102 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,1.31,6.66,,,9.38,
,"Thu, Mar 26",10:45 ,Huevo,1,Proteína,65 gr,8 gr,0 gr,8 gr,0 gr,101 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,1.23,2.91,,,7.67,
,"Thu, Mar 26",10:45 ,Pan de Salvado,2,Grano,66 gr,5 gr,30 gr,1 gr,1 gr,150 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Mar 26",15:20 ,Zanahoria,0.5,Verdura,61 gr,1 gr,6 gr,0 gr,2 gr,25 kcal,04:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Mar 26",15:20 ,Cebolla,0.5,Verdura,126 gr,1 gr,13 gr,0 gr,2 gr,53 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Mar 26",15:20 ,Zucchini,0.5,Verdura,135 gr,2 gr,5 gr,0 gr,2 gr,23 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Mar 26",15:20 ,Ají,0.25,Verdura,68 gr,1 gr,3 gr,0 gr,0 gr,12 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Mar 26",15:20 ,Arroz Integral,1,Grano,40 gr,1 gr,9 gr,0 gr,1 gr,44 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Mar 26",15:20 ,Maní King Tostado Sin Piel Sin Sodio (1 cda sop),1,Fruto Seco,15 gr,4 gr,2 gr,8 gr,1 gr,89 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,3.68,,,7.50,
,"Thu, Mar 26",15:20 ,Pollo (1 pechuga),0.35,Proteína,105 gr,30 gr,0 gr,3 gr,0 gr,159 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.67,1.34,,,3.36,
,"Thu, Mar 26",15:20 ,Pan integral Bimbo artesano,2,Grano,76 gr,9 gr,32 gr,2 gr,4 gr,185 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Mar 26",15:20 ,Queso Unt. Finlandia más liviano,3,Lácteo,30 gr,3 gr,2 gr,2 gr,0 gr,39 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.07,0.70,0.10,0.17,1.34,
,"Thu, Mar 26",15:20 ,Huevo,1,Proteína,65 gr,8 gr,0 gr,8 gr,0 gr,101 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,1.23,2.91,,,7.67,
,"Thu, Mar 26",15:20 ,"Aceite de oliva El Gran Juicio (EV, 1 cda sop)",0.17,Grano,2 gr,0 gr,0 gr,2 gr,0 gr,18 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.20,1.53,,,2.04,
,"Thu, Mar 26",18:30 ,Manzana,1,Fruta,165 gr,1 gr,31 gr,0 gr,5 gr,119 kcal,03:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Mar 26",18:30 ,Banana,1,Fruta,115 gr,1 gr,26 gr,0 gr,3 gr,102 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Mar 26",18:30 ,"Leche, Protein",1.2,Lácteo,120 gr,6 gr,6 gr,0 gr,0 gr,44 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Mar 26",18:30 ,Creatina Monohidrato,0.5,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Mar 26",18:30 ,Vitaminas,1,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Mar 26",19:50 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,01:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Mar 26",19:50 ,"Leche, Protein",0.8,Lácteo,80 gr,4 gr,4 gr,0 gr,0 gr,30 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Mar 26",19:50 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Mar 26",19:50 ,Vainillas Bimbo,2,Carb,24 gr,2 gr,18 gr,1 gr,0 gr,90 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Mar 26",19:50 ,Nuez (1),1,Fruto Seco,5 gr,1 gr,1 gr,3 gr,0 gr,34 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,1.63,0.70,,,3.19,
,"Thu, Mar 26",19:50 ,Almendra (1),1,Fruto Seco,5 gr,1 gr,0 gr,3 gr,1 gr,29 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,1.95,,,2.68,
,"Thu, Mar 26",23:00 ,"Yogurt, Ser",1,Lácteo,190 gr,9 gr,11 gr,0 gr,0 gr,80 kcal,03:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Mar 26",23:00 ,Vainillas Bimbo,2,Carb,24 gr,2 gr,18 gr,1 gr,0 gr,90 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Mar 26",23:00 ,"Ceral, galletitas de algarroba (4 un)",1,Procesado,30 gr,2 gr,13 gr,2 gr,8 gr,73 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Mar 26",23:00 ,Pasta de maní King natural,1,Fruto Seco,19 gr,5 gr,2 gr,9 gr,2 gr,111 kcal,,,,,,119 gr,259 gr,71 gr,36 gr,"2,108 kcal",1751 gr,,115 gr,100 gr,124 gr,35 gr,2000 kcal,1 gr,13 gr,27 gr,0 gr,0 gr,54 gr,0 gr,40 gr,54 gr,1:13,,3.17,4.56,,,9.31,
1,"Fri, Mar 27",10:30 ,Te,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Mar 27",10:30 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Mar 27",10:30 ,"Leche, Protein",0.4,Lácteo,40 gr,2 gr,2 gr,0 gr,0 gr,15 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Mar 27",10:30 ,Pan integral Bimbo artesano,2,Grano,76 gr,9 gr,32 gr,2 gr,4 gr,185 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Mar 27",10:30 ,Queso Unt. Finlandia más liviano,2.5,Lácteo,25 gr,2 gr,1 gr,2 gr,0 gr,33 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.06,0.58,0.08,0.14,1.12,
,"Fri, Mar 27",10:30 ,Huevo,1,Proteína,65 gr,8 gr,0 gr,8 gr,0 gr,101 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,1.23,2.91,,,7.67,
,"Fri, Mar 27",10:30 ,Palta,0.3,Fruta,40 gr,1 gr,3 gr,6 gr,3 gr,64 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.82,4.16,,,5.86,
,"Fri, Mar 27",10:30 ,"Aceite de oliva El Gran Juicio (EV, 1 cda sop)",0.1,Grano,1 gr,0 gr,0 gr,1 gr,0 gr,11 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.12,0.90,,,1.20,
,"Fri, Mar 27",13:30 ,Cebolla,0.5,Verdura,101 gr,1 gr,10 gr,0 gr,1 gr,42 kcal,03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Mar 27",13:30 ,Zucchini,0.5,Verdura,116 gr,1 gr,4 gr,0 gr,1 gr,20 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Mar 27",13:30 ,Zanahoria,0.5,Verdura,45 gr,0 gr,4 gr,0 gr,1 gr,18 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Mar 27",13:30 ,Ají,0.25,Verdura,50 gr,1 gr,2 gr,0 gr,0 gr,9 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Mar 27",13:30 ,Pollo (1 pechuga),0.7,Proteína,188 gr,54 gr,0 gr,6 gr,0 gr,284 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,1.20,2.41,,,6.02,
,"Fri, Mar 27",13:30 ,Maní,1,Fruto Seco,15 gr,4 gr,1 gr,7 gr,1 gr,87 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,3.60,,,7.35,
,"Fri, Mar 27",15:40 ,Banana,1,Fruta,123 gr,1 gr,28 gr,0 gr,3 gr,109 kcal,02:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Mar 27",15:40 ,Manzana,1,Fruta,180 gr,1 gr,34 gr,0 gr,5 gr,130 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Mar 27",15:40 ,"Leche, Protein",1.2,Lácteo,120 gr,6 gr,6 gr,0 gr,0 gr,44 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Mar 27",15:40 ,Creatina Monohidrato,0.5,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Mar 27",18:35 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,02:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Mar 27",18:35 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Mar 27",18:35 ,"Leche, Protein",0.8,Lácteo,80 gr,4 gr,4 gr,0 gr,0 gr,30 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Mar 27",18:35 ,Power Boost Protein Bar Pistacho,1,Procesado,46 gr,15 gr,15 gr,4 gr,2 gr,152 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Mar 27",22:00,Empanada de Carne,3,Elaborado,270 gr,20 gr,61 gr,52 gr,3 gr,789 kcal,03:25,,,,,129 gr,222 gr,89 gr,26 gr,"2,179 kcal",1601 gr,,115 gr,100 gr,124 gr,35 gr,2000 kcal,1 gr,8 gr,36 gr,0 gr,0 gr,55 gr,0 gr,45 gr,55 gr,1:8,0.52,2.07,21.74,,,25.88,
1,"Sat, Mar 28",9:30 ,Te,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Mar 28",9:30 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Mar 28",9:30 ,"Leche, Protein",0.4,Lácteo,40 gr,2 gr,2 gr,0 gr,0 gr,15 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Mar 28",9:30 ,Pan integral Bimbo artesano,2,Grano,76 gr,9 gr,32 gr,2 gr,4 gr,185 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Mar 28",9:30 ,Queso Unt. Finlandia más liviano,3,Lácteo,30 gr,3 gr,2 gr,2 gr,0 gr,39 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.07,0.70,0.10,0.17,1.34,
,"Sat, Mar 28",9:30 ,Huevo,0.5,Proteína,33 gr,4 gr,0 gr,4 gr,0 gr,51 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.61,1.46,,,3.84,
,"Sat, Mar 28",9:30 ,Palta,0.2,Fruta,25 gr,1 gr,2 gr,4 gr,2 gr,40 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.51,2.60,,,3.67,
,"Sat, Mar 28",9:30 ,Vainillas Bimbo,2,Carb,24 gr,2 gr,18 gr,1 gr,0 gr,90 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Mar 28",14:15 ,Arroz Integral,1,Grano,40 gr,1 gr,9 gr,0 gr,1 gr,44 kcal,04:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
